sources_sourceID,river,city,state,country,region,measurement_location,exact_lat,exact_lng,street_number,street_name,street_lat,street_lng,feature_class,miles_from_site,post_code,place_name,county_number,county_name,state_name,agency,agency_id,full_site_name,unique_site_name
59,"Alamo River","Imperial County",CA,"United States",West,,33.10444444,-115.5441667,,,33.10404,-115.54552,S1400,0.13,,,25,Imperial,California,USGS,10254670,"Alamo River @ Imperial County, CA","Alamo River @ Imperial County, CA"
60,"Alamosa River",,N/A,,N/A,,37.37472769,-106.3347558,,,,,,,,,,,,USGS,8236000,"Alamosa River","Alamosa River"
61,"Alamosa River","Conejos County",CO,"United States",West,,37.35278344,-106.2775324,,,37.35344,-106.27788,S1400,0.08,,,21,Conejos,Colorado,USGS,8236500,"Alamosa River @ Conejos County, CO","Alamosa River @ Conejos County, CO"
62,"Alamosa River","Rio Grande County",CO,"United States",West,"Fs 250",37.40278317,-106.450592,,"Fs 250",37.40355,-106.44953,S1400,0.13,,,105,"Rio Grande",Colorado,USGS,8235700,"Alamosa River @ Rio Grande County, CO","Alamosa River @ Rio Grande County, CO near  Fs 250"
63,"Alamosa River","Rio Grande County",CO,"United States",West,"43256 Fs 250",37.40250568,-106.5219821,43256,"Fs 250",37.40326,-106.5226,S1400,0.1,,,105,"Rio Grande",Colorado,USGS,8235250,"Alamosa River @ Rio Grande County, CO","Alamosa River @ Rio Grande County, CO near 43256 Fs 250"
64,"Albemarle Sound",,N/A,,N/A,,36.00182868,-76.3929922,,,,,,,,,,,,USGS,208115600,"Albemarle Sound","Albemarle Sound"
65,"Albergotti Creek",Beaufort,SC,"United States",Southeast,"301 Geiger Blvd, ZIP: 29902",32.45324693,-80.7017729,301,"Geiger Blvd",32.45361,-80.70199,S1400,0.05,29902,Beaufort,13,Beaufort,"South Carolina",USGS,2176587,"Albergotti Creek @ Beaufort, SC","Albergotti Creek @ Beaufort, SC"
66,"Alcovy River","Gwinnett County",GA,"United States",Southeast,"2376 New Hope Rd, ZIP: 30019",33.9176073,-83.8879582,2376,"New Hope Rd",33.9172,-83.888,S1400,0.05,30019,,135,Gwinnett,Georgia,USGS,2208150,"Alcovy River @ Gwinnett County, GA","Alcovy River @ Gwinnett County, GA"
67,"Alcovy River","Newton County",GA,"United States",Southeast,"465 Alcovy Trestle Rd, ZIP: 30014",33.64011554,-83.7790674,465,"Alcovy Trestle Rd",33.63949,-83.77914,S1400,0.07,30014,,217,Newton,Georgia,USGS,2208450,"Alcovy River @ Newton County, GA","Alcovy River @ Newton County, GA"
68,"Alger Creek","Genesee County",MI,"United States",Midwest,"8406 Hill Rd, ZIP: 48473",42.9419733,-83.8460698,8406,"Hill Rd",42.94185,-83.84607,S1400,0.01,48473,,49,Genesee,Michigan,USGS,41482663,"Alger Creek @ Genesee County, MI","Alger Creek @ Genesee County, MI"
69,"Aliso Creek",,N/A,,N/A,,33.26444444,-117.4422222,,,,,,,,,,,,USGS,11046072,"Aliso Creek","Aliso Creek"
70,"Allegheny River",Franklin,PA,"United States",Northeast,"200 8th St, ZIP: 16323",41.3895027,-79.8203322,200,"8th St",41.38935,-79.82045,S1200,0.02,16323,Franklin,121,Venango,Pennsylvania,USGS,3025500,"Allegheny River @ Franklin, PA","Allegheny River @ Franklin, PA"
71,"Allegheny River",Plum,PA,"United States",Northeast,"Barking Rd",40.5361788,-79.8147714,,"Barking Rd",40.53559,-79.81364,S1400,0.12,,Plum,3,Allegheny,Pennsylvania,USGS,3049640,"Allegheny River @ Plum, PA","Allegheny River @ Plum, PA"
72,"Allegheny River","Port Allegany",PA,"United States",Northeast,"Grand Army of the Republic Hwy",41.81867578,-78.29279129,,"Grand Army of the Republic Hwy",41.8187,-78.2928,S1200,0,,"Port Allegany",83,McKean,Pennsylvania,USGS,3007800,"Allegheny River @ Port Allegany, PA","Allegheny River @ Port Allegany, PA"
73,"Allen Creek","Mecklenburg County",VA,"United States",Southeast,"23016 US Hwy 58, ZIP: 23917",36.67958589,-78.326664,23016,"US Hwy 58",36.67962,-78.32666,S1200,0,23917,,117,Mecklenburg,Virginia,USGS,2079640,"Allen Creek @ Mecklenburg County, VA","Allen Creek @ Mecklenburg County, VA"
74,"Allen Creek","Wyoming County",WV,"United States",Southeast,"Wyco Hollow Rd",37.5926144,-81.346491,,"Wyco Hollow Rd",37.59297,-81.34659,S1400,0.04,,,109,Wyoming,"West Virginia",USGS,3202240,"Allen Creek @ Wyoming County, WV","Allen Creek @ Wyoming County, WV"
75,"Alligator River",,N/A,,N/A,,35.9329367,-75.9960276,,,,,,,,,,,,USGS,208117835,"Alligator River","Alligator River"
76,"Altamaha River","Glynn County",GA,"United States",Southeast,"Altamaha Park Rd",31.42716717,-81.6053858,,"Altamaha Park Rd",31.42712,-81.60648,S1400,0.1,,,127,Glynn,Georgia,USGS,2226160,"Altamaha River @ Glynn County, GA","Altamaha River @ Glynn County, GA"
77,"Altamont Creek",Livermore,CA,"United States",West,"5658 Firestone Rd, ZIP: 94551",37.72298447,-121.7291189,5658,"Firestone Rd",37.72273,-121.72912,S1400,0.03,94551,Livermore,1,Alameda,California,USGS,11176140,"Altamont Creek @ Livermore, CA","Altamont Creek @ Livermore, CA"
78,"Anclote River","Pasco County",FL,"United States",Southeast," Perrine Ranch Rd, ZIP: 34655",28.19417866,-82.71843379,,"Perrine Ranch Rd",28.19426,-82.71849,S1400,0.01,34655,,101,Pasco,Florida,USGS,2310050,"Anclote River @ Pasco County, FL","Anclote River @ Pasco County, FL"
79,"Anclote River","Pinellas County",FL,"United States",Southeast,"1805 Oceola St, ZIP: 34689",28.1716792,-82.7848245,1805,"Oceola St",28.17154,-82.78453,S1400,0.03,34689,,103,Pinellas,Florida,USGS,2310207,"Anclote River @ Pinellas County, FL","Anclote River @ Pinellas County, FL"
80,"Anclote River","Tarpon Springs",FL,"United States",Southeast,"N Pinellas Ave",28.15779109,-82.7564903,,"N Pinellas Ave",28.15778,-82.75681,S1200,0.03,,"Tarpon Springs",103,Pinellas,Florida,USGS,2310175,"Anclote River @ Tarpon Springs, FL","Anclote River @ Tarpon Springs, FL"
81,"Androscoggin River","Franklin County",ME,"United States",Northeast,"Riley Rd",44.5025,-70.2244444,,"Riley Rd",44.50176,-70.22496,S1400,0.09,,,7,Franklin,Maine,USGS,1055100,"Androscoggin River @ Franklin County, ME","Androscoggin River @ Franklin County, ME"
82,"Animas River","San Juan County",CO,"United States",West,"Co Rd 33",37.7902746,-107.6675614,,"Co Rd 33",37.79066,-107.6663,S1400,0.12,,,111,"San Juan",Colorado,USGS,9359020,"Animas River @ San Juan County, CO","Animas River @ San Juan County, CO"
83,"Annaricken Brook","Burlington County",NJ,"United States",Northeast,"110 Island Rd, ZIP: 8022",40.05527778,-74.7019444,110,"Island Rd",40.05536,-74.70225,S1400,0.03,8022,,5,Burlington,"New Jersey",USGS,1464578,"Annaricken Brook @ Burlington County, NJ","Annaricken Brook @ Burlington County, NJ"
84,"Antelope Creek",Lincoln,NE,"United States",Midwest,"6209 Pioneers Blvd, ZIP: 68506",40.7694453,-96.6347371,6209,"Pioneers Blvd",40.7697,-96.63474,S1400,0.03,68506,Lincoln,109,Lancaster,Nebraska,USGS,6803197,"Antelope Creek @ Lincoln, NE","Antelope Creek @ Lincoln, NE"
85,"Antes Creek","Lycoming County",PA,"United States",Northeast,"3900 S State Rte 44, ZIP: 17740",41.16118479,-77.21719169,3900,"S State Rte 44",41.16124,-77.21649,S1200,0.06,17740,,81,Lycoming,Pennsylvania,USGS,1549755,"Antes Creek @ Lycoming County, PA","Antes Creek @ Lycoming County, PA"
86,"Apalachee River","Gwinnett County",GA,"United States",Southeast,"2906 Fence Rd NE, ZIP: 30019",34.01038289,-83.894068,2906,"Fence Rd NE",34.01046,-83.89418,S1400,0.01,30019,,135,Gwinnett,Georgia,USGS,2218565,"Apalachee River @ Gwinnett County, GA","Apalachee River @ Gwinnett County, GA"
87,"Apalachee River","Morgan County",GA,"United States",Southeast,"Greensboro Hwy",33.6087367,-83.3493286,,"Greensboro Hwy",33.60834,-83.34916,S1200,0.05,,,211,Morgan,Georgia,USGS,2219500,"Apalachee River @ Morgan County, GA","Apalachee River @ Morgan County, GA"
88,"Apple River","Lafayette County",WI,"United States",Midwest,"16083 Co Rd W",42.5227823,-90.1340143,16083,"Co Rd W",42.52288,-90.13401,S1400,0.01,,,65,Lafayette,Wisconsin,USGS,5418731,"Apple River @ Lafayette County, WI","Apple River @ Lafayette County, WI"
89,"Appomattox River","Amelia County",VA,"United States",Southeast,"Mattoax Ln",37.42153845,-77.8588876,,"Mattoax Ln",37.41982,-77.85903,S1400,0.19,,,7,Amelia,Virginia,USGS,2040000,"Appomattox River @ Amelia County, VA","Appomattox River @ Amelia County, VA"
90,"Appomattox River",Farmville,VA,"United States",Southeast,"564 N Main St, ZIP: 23901",37.3070965,-78.388607,564,"N Main St",37.30727,-78.38915,S1200,0.05,23901,Farmville,147,"Prince Edward",Virginia,USGS,2039500,"Appomattox River @ Farmville, VA","Appomattox River @ Farmville, VA"
91,"Appomattox River",Matoaca,VA,"United States",Southeast,"21899 Pickett Ave, ZIP: 23803",37.2251505,-77.475263,21899,"Pickett Ave",37.22533,-77.47616,S1400,0.08,23803,Matoaca,41,Chesterfield,Virginia,USGS,2041650,"Appomattox River @ Matoaca, VA","Appomattox River @ Matoaca, VA"
92,"Appoquinimink River","New Castle County",DE,"United States",Northeast,"793 Silver Run Rd, ZIP: 19709",39.46594444,-75.61352778,793,"Silver Run Rd",39.4659,-75.61325,S1200,0.02,19709,,3,"New Castle",Delaware,USGS,1483177,"Appoquinimink River @ New Castle County, DE","Appoquinimink River @ New Castle County, DE"
93,"Aquia Creek","Stafford County",VA,"United States",Southeast,"199 Onville Rd, ZIP: 22556",38.49040138,-77.4335942,199,"Onville Rd",38.49074,-77.43335,S1400,0.04,22556,,179,Stafford,Virginia,USGS,1660400,"Aquia Creek @ Stafford County, VA","Aquia Creek @ Stafford County, VA"
94,"Arkansas River","Bent County",CO,"United States",West,,38.06639635,-102.9324228,,,38.06598,-102.93244,S1400,0.05,,,11,Bent,Colorado,USGS,7130500,"Arkansas River @ Bent County, CO","Arkansas River @ Bent County, CO"
